Boat name,Notes,Problem,Thrust,Acceleration,Lift,Drag,Mass(kN),Mass(kg),Speed,Ls-1,Parts,Part efficiency,Fuel efficiency,,,,,,,,
Crick in my Neck 1,Max speed,,870,,1109.099,299.578,783.122,79.83,50,1.48,96,41.578125,"29,391.89",,,,,,,,
Crick in my Neck 2,,,800,,1164.398,349.851,814.091,82.94,32.5,1.49,85,31.71235294,"17,449.66",,,,,,,,
Crick in my Neck 3,Added front and tail aerodynamic parts,,873,,1149.812,311.917,840.097,85.637,32.4,1.49,100,27.746388,"18,983.36",,,,,,,,
Crick in my Neck 3.1,Flipped aerodynamic parts to less area in contact with water initially,,873.2,10.21,1147.362,311.174,839.32,85.558,32.4,1.49,100,27.720792,"18,987.70",,,,,,,,
Crick in my Neck 3.2,More rounded tail,,873.4,10.19,1150.436,312.187,840.892,85.719,32.4,1.49,99,28.05349091,"18,992.05",,,,,,,,
Crick in my Neck 3.3,No tail,,865.3,10.3,1129.772,305.793,823.815,83.978,32.4,1.49,97,28.05038351,"18,815.92",,,,,,,,
Crick in my Neck 3.4,Different nose section,,873,10.1,1158.979,305.025,848.312,86.475,31.7,1.49,98,27.97201531,"18,573.22",,,,,,,,
Crick in my Neck 3.5,Rounded nose. Smaller crew capsule on top,,865.1,10.31,1127.743,307.813,823.253,83.921,32.5,1.47,99,27.54982323,"19,126.36",,,,,,,,
Crick in mt Neck 3.6,Removed powered front wheels,,782.2,9.362,1137.605,314.69,819.616,83.55,32.4,1.34,95,28.49494737,"18,912.90",,,,,,,,
Crick in my Neck 3.7,Moved hydrofoils lower. Crashes ~50m/s,,775.7,9.26,1128.601,271.198,821.764,83.769,32.6,1.33,95,28.74599368,"19,013.40",,,,,,,,
Crick in my Neck 3.8,Removed 2nd from front legs,,781.6,9.582,1114.291,251.966,800.145,81.565,32.4,1.34,81,32.626,"18,898.39",,,,,,,,
Crick in my Neck 3.9,Removed front foil dihedra;l,,778.1,9.538,1192.583,295.921,800.228,81.573,32.4,1.33,81,32.6292,"18,955.22",,,,,,,,
Crick in my Neck 3.10,Reverted to 3.7. Removed wheels from 2nd set of spars.,,779.2,9.286,1139.608,231.106,823.137,83.909,32.4,1.23,93,29.2328129,"20,525.27",,,,,,,,
Crick in my Neck 3.11,Moves planes higher onback 4 legs,,780.9,9.307,1111.818,287.629,823.07,83.902,32.6,1.33,93,29.4108086,"19,140.86",,,,,,,,
Crick inmy Neck 3.12,"Moved front 4 legs much further forward. Scores sllightly worse, but worth investigating",,807.3,9.627,1195.397,371.525,822.66,83.86,32.6,1.38,93,29.39608602,"19,071.00",,,,,,,,
Crick in my Neck 3.13,Moved 2nd set of legs back to where they were,,804.7,9.596,1185.631,362.731,822.663,83.86,32.4,1.37,93,29.21574194,"19,030.86",,,,,,,,
Crick in my Neck 3.14,Foved back 4 leg foils back down,,802.5,9.592,1153.062,328.398,820.74,83.664,32.6,1.37,93,29.32738065,"19,095.99",,,,,,,,
Crick in my Neck 3.15,Reverted to 3.10. Removed Floats and Wheesley engines. Moved rear rudder down. Put a 3rd Goliath engine on and throtle limited it to 67%,,778.7,9.257,1142.196,230.893,825.203,84.119,32.4,1.26,80,34.068195,"20,023.71",,,,,,,,
