Boat name,Notes,Problem,Thrust,Acceleration,Lift,Drag,Mass(kN),Mass(kg),Speed,Ls-1,Parts,Part efficiency,POwer efficiency,Momentum efficienty,,,,,,
3.33,Reverted to 3.31.Tiny fixed wings way at the bottom of center legs. Moved center legs higher,~skipping,540.3,6.589,891.55,251.425,804.336,81.992,32.8,0.87,62,43.3764129,"20,369.93","3,091.19",,,,,,
1,Based off 3.3. Can't get out of the water with 3 engines,,930.3,5.919,1447.548,423.647,1541.779,157.165,29.3,1.58,70,65.78477857,"17,251.77","2,914.52",,,,,,
2,Placed additional adjustable foils on center and back legs,Still hard to get up,917.7,5.838,1374.412,383.697,1542.083,157.196,71,1.49,74,150.8231892,"43,729.33","7,490.55",,,,,,
3,Small wings off center leg. Another adjustable foil on back legs. Raised center legs up higher,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
4,Moved legs down. All flaps retracted,,858.8,5.374,1069.664,323.527,1567.721,159.809,24.4,1.39,74,52.69377838,"15,075.34","2,805.28",,,,,,
5,"Replaced all fixed foil on center leg with adjustable ones. 1 at bottom, then 2, and 2",,910.5,5.883,1653.438,445.633,1518.34,154.777,79.5,1.47,76,161.9048882,"49,241.33","8,370.59",,,,,,
6,Added another engine. Both are on outer back tanks.,,1015,6.153,1738.713,497.546,1617.574,164.892,32.5,1.78,75,71.4532,"18,532.30","3,010.67",,,,,,
7,"Moved rear bottom inward foil up ward. Rear leg is now 1 , 2.",,943.1,5.723,1748.242,502.33,1616.591,164.792,32.6,1.54,75,71.62958933,"19,964.32","3,488.45",,,,,,
8,Took center legs off struts and attached them to the engines directly. Filled forward tank with fuel. Slightly shifted engines forward to deal with new COM,,944.4,5.59,1891.92,492.146,1657.31,168.942,32.5,1.53,69,79.57413043,"20,060.78","3,588.64",,,,,,
9,Removed fuel from forward tank and adjusted engine location accordingly,,939.1,5.753,1853.809,478.681,1601.387,163.242,32.5,1.52,69,76.88934783,"20,079.44","3,490.37",,,,,,
